id,utterance,source,generation_strategy,model_name,prompt_text,dialogue_text,turn_index,speaker,tokens,pos_tags,labels,Language,text,turn,conv_id,tokens_list,token_langs,lang,tech_score,cult_score,is_mixed_turn
646,"Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?",LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",1,Li,"['Hey', 'Sarah', ',', 'I', 'noticed', 'there', ""'s"", 'a', 'merge', 'conflict', 'in', 'our', 'code', '.', 'Did', 'you', 'work', 'on', 'the', 'same', 'file', 'as', 'me', '?']","['INTJ', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'AUX', 'PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'PRON', 'PUNCT']","{'en', 'punct', 'other'}","['en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']","Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?",1,646,"['Hey', 'Sarah', ',', 'I', 'noticed', 'there', ""'s"", 'a', 'merge', 'conflict', 'in', 'our', 'code', '.', 'Did', 'you', 'work', 'on', 'the', 'same', 'file', 'as', 'me', '?']","['en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",en,2,0,False
646,"Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.",LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",2,Sarah,"['Yeah', ',', 'I', 'think', 'we', 'both', 'made', 'changes', 'to', 'that', 'file', '.', 'Let', 'me', 'resolve', 'the', 'conflict', 'and', 'push', 'the', 'changes', '.']","['INTJ', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PRON', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'PUNCT']","{'en', 'punct'}","['en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']","Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.",2,646,"['Yeah', ',', 'I', 'think', 'we', 'both', 'made', 'changes', 'to', 'that', 'file', '.', 'Let', 'me', 'resolve', 'the', 'conflict', 'and', 'push', 'the', 'changes', '.']","['en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",en,0,0,False
646,"Cool, thanks. Once that's done, we can kick off a new staging build to test everything.",LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",3,Li,"['Cool', ',', 'thanks', '.', 'Once', 'that', ""'s"", 'done', ',', 'we', 'can', 'kick', 'off', 'a', 'new', 'staging', 'build', 'to', 'test', 'everything', '.']","['INTJ', 'PUNCT', 'NOUN', 'PUNCT', 'SCONJ', 'PRON', 'AUX', 'VERB', 'PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PART', 'VERB', 'PRON', 'PUNCT']","{'en', 'punct'}","['en', 'punct', 'en', 'punct', 'en', 'en', 'en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']","Cool, thanks. Once that's done, we can kick off a new staging build to test everything.",3,646,"['Cool', ',', 'thanks', '.', 'Once', 'that', ""'s"", 'done', ',', 'we', 'can', 'kick', 'off', 'a', 'new', 'staging', 'build', 'to', 'test', 'everything', '.']","['en', 'punct', 'en', 'punct', 'en', 'en', 'en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",en,3,0,False
646,"Agreed. Hopefully, there won't be any more blockers before deployment.",LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",4,Sarah,"['Agreed', '.', 'Hopefully', ',', 'there', 'wo', ""n't"", 'be', 'any', 'more', 'blockers', 'before', 'deployment', '.']","['VERB', 'PUNCT', 'ADV', 'PUNCT', 'PRON', 'AUX', 'PART', 'AUX', 'PRON', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","{'en', 'punct'}","['en', 'punct', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']","Agreed. Hopefully, there won't be any more blockers before deployment.",4,646,"['Agreed', '.', 'Hopefully', ',', 'there', 'wo', ""n't"", 'be', 'any', 'more', 'blockers', 'before', 'deployment', '.']","['en', 'punct', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",en,1,0,False
646,"Speaking of deployment, have you run into any issues with the latest build?",LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",5,Li,"['Speaking', 'of', 'deployment', ',', 'have', 'you', 'run', 'into', 'any', 'issues', 'with', 'the', 'latest', 'build', '?']","['VERB', 'ADP', 'NOUN', 'PUNCT', 'AUX', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']","{'en', 'punct', 'other'}","['en', 'en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']","Speaking of deployment, have you run into any issues with the latest build?",5,646,"['Speaking', 'of', 'deployment', ',', 'have', 'you', 'run', 'into', 'any', 'issues', 'with', 'the', 'latest', 'build', '?']","['en', 'en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",en,2,0,False
646,"Not yet, but I'll double-check for any bugs before we deploy to production.",LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",6,Sarah,"['Not', 'yet', ',', 'but', 'I', ""'ll"", 'double', '-', 'check', 'for', 'any', 'bugs', 'before', 'we', 'deploy', 'to', 'production', '.']","['PART', 'ADV', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'ADJ', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'SCONJ', 'PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT']","{'en', 'punct', 'other'}","['en', 'en', 'punct', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']","Not yet, but I'll double-check for any bugs before we deploy to production.",6,646,"['Not', 'yet', ',', 'but', 'I', ""'ll"", 'double', '-', 'check', 'for', 'any', 'bugs', 'before', 'we', 'deploy', 'to', 'production', '.']","['en', 'en', 'punct', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",en,2,0,False
646,Good idea. We don't want any last-minute surprises.,LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",7,Li,"['Good', 'idea', '.', 'We', 'do', ""n't"", 'want', 'any', 'last', '-', 'minute', 'surprises', '.']","['ADJ', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'PART', 'VERB', 'DET', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT']","{'en', 'punct', 'other'}","['en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'punct']",Good idea. We don't want any last-minute surprises.,7,646,"['Good', 'idea', '.', 'We', 'do', ""n't"", 'want', 'any', 'last', '-', 'minute', 'surprises', '.']","['en', 'en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'punct']",en,0,0,False
646,Definitely. We need to hit our deadline for this release.,LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",8,Sarah,"['Definitely', '.', 'We', 'need', 'to', 'hit', 'our', 'deadline', 'for', 'this', 'release', '.']","['ADV', 'PUNCT', 'PRON', 'VERB', 'PART', 'VERB', 'PRON', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","{'en', 'punct'}","['en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",Definitely. We need to hit our deadline for this release.,8,646,"['Definitely', '.', 'We', 'need', 'to', 'hit', 'our', 'deadline', 'for', 'this', 'release', '.']","['en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",en,2,0,False
646,Let's make sure we communicate any hotfixes or issues that come up during deployment.,LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",9,Li,"['Let', ""'s"", 'make', 'sure', 'we', 'communicate', 'any', 'hotfixes', 'or', 'issues', 'that', 'come', 'up', 'during', 'deployment', '.']","['VERB', 'PRON', 'VERB', 'ADJ', 'PRON', 'VERB', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PRON', 'VERB', 'ADP', 'ADP', 'NOUN', 'PUNCT']","{'en', 'punct'}","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",Let's make sure we communicate any hotfixes or issues that come up during deployment.,9,646,"['Let', ""'s"", 'make', 'sure', 'we', 'communicate', 'any', 'hotfixes', 'or', 'issues', 'that', 'come', 'up', 'during', 'deployment', '.']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",en,1,0,False
646,"Absolutely, clear communication is key to a smooth deployment process.",LLM,"['chain-of-thought', 'persona-based']",gpt-3.5-turbo-16k,"You are a senior software engineer roleplaying natural English workplace chat. 
Li and Sarah are discussing a merge conflict and deployment blockers. 
Keep the tone pragmatic and realistic — no Chinese text at all. 
Use natural conversational phrasing like ""staging build"" or ""hotfix"".
Each dialogue should be 5–7 turns long and include one of: deploy, build, bug, deadline, merge.
Output only the conversation.
","Li: Hey Sarah, I noticed there's a merge conflict in our code. Did you work on the same file as me?

Sarah: Yeah, I think we both made changes to that file. Let me resolve the conflict and push the changes.

Li: Cool, thanks. Once that's done, we can kick off a new staging build to test everything.

Sarah: Agreed. Hopefully, there won't be any more blockers before deployment.

Li: Speaking of deployment, have you run into any issues with the latest build?

Sarah: Not yet, but I'll double-check for any bugs before we deploy to production.

Li: Good idea. We don't want any last-minute surprises.

Sarah: Definitely. We need to hit our deadline for this release.

Li: Let's make sure we communicate any hotfixes or issues that come up during deployment.

Sarah: Absolutely, clear communication is key to a smooth deployment process.",10,Sarah,"['Absolutely', ',', 'clear', 'communication', 'is', 'key', 'to', 'a', 'smooth', 'deployment', 'process', '.']","['ADV', 'PUNCT', 'ADJ', 'NOUN', 'AUX', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']","{'en', 'punct'}","['en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']","Absolutely, clear communication is key to a smooth deployment process.",10,646,"['Absolutely', ',', 'clear', 'communication', 'is', 'key', 'to', 'a', 'smooth', 'deployment', 'process', '.']","['en', 'punct', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'punct']",en,1,0,False
