conv_id,turn,speaker,text,lang,tokens_list,token_langs,token_count,tech_score,cult_score,is_mixed_turn
748,0,Li,"Hey Sarah, are you ready for the deploy this Friday?",en,"['Hey', 'Sarah', ',', 'are', 'you', 'ready', 'for', 'the', 'deploy', 'this', 'Friday', '?']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",12,1,0,False
748,1,S,嘿，Sarah，你准备好这个星期五的部署了吗？,zh,"['嘿', '，', 'Sarah', '，', '你', '准', '备', '好', '这', '个', '星', '期', '五', '的', '部', '署', '了', '吗', '？']","['zh', 'other', 'en', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",19,0,0,True
748,2,Sarah,"Hey Li, almost there. Just need to do one last build to make sure everything is working smoothly.",en,"['Hey', 'Li', ',', 'almost', 'there', '.', 'Just', 'need', 'to', 'do', 'one', 'last', 'build', 'to', 'make', 'sure', 'everything', 'is', 'working', 'smoothly', '.']","['en', 'en', 'other', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",21,1,0,False
748,3,S,嘿，Li，快了。只需要做一个最后的构建，确保一切运行顺利。,zh,"['嘿', '，', 'Li', '，', '快', '了', '。', '只', '需', '要', '做', '一', '个', '最', '后', '的', '构', '建', '，', '确', '保', '一', '切', '运', '行', '顺', '利', '。']","['zh', 'other', 'en', 'other', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",28,0,0,True
748,4,Li,"Sounds good. I've been testing for bugs all week, so hopefully we won't run into any issues during the deploy.",en,"['Sounds', 'good', '.', ""I've"", 'been', 'testing', 'for', 'bugs', 'all', 'week', ',', 'so', 'hopefully', 'we', ""won't"", 'run', 'into', 'any', 'issues', 'during', 'the', 'deploy', '.']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",23,1,0,False
748,5,S,听起来不错。我整个星期都在测试错误，希望在部署过程中不会遇到任何问题。,zh,"['听', '起', '来', '不', '错', '。', '我', '整', '个', '星', '期', '都', '在', '测', '试', '错', '误', '，', '希', '望', '在', '部', '署', '过', '程', '中', '不', '会', '遇', '到', '任', '何', '问', '题', '。']","['zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",35,0,0,False
748,6,Sarah,"Yeah, let's keep our fingers crossed. The deadline for this release is tight, so we can't afford any last-minute merge conflicts.",en,"['Yeah', ',', ""let's"", 'keep', 'our', 'fingers', 'crossed', '.', 'The', 'deadline', 'for', 'this', 'release', 'is', 'tight', ',', 'so', 'we', ""can't"", 'afford', 'any', 'last', '-', 'minute', 'merge', 'conflicts', '.']","['en', 'other', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'other']",27,2,0,False
748,7,S,是的，让我们保持乐观。这个发布的截止日期很紧，我们不能承受任何最后一刻的合并冲突。,zh,"['是', '的', '，', '让', '我', '们', '保', '持', '乐', '观', '。', '这', '个', '发', '布', '的', '截', '止', '日', '期', '很', '紧', '，', '我', '们', '不', '能', '承', '受', '任', '何', '最', '后', '一', '刻', '的', '合', '并', '冲', '突', '。']","['zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",41,0,0,False
748,8,Li,Agreed. I'll check in with the team tomorrow to make sure everyone is on the same page before we deploy.,en,"['Agreed', '.', ""I'll"", 'check', 'in', 'with', 'the', 'team', 'tomorrow', 'to', 'make', 'sure', 'everyone', 'is', 'on', 'the', 'same', 'page', 'before', 'we', 'deploy', '.']","['en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",22,1,0,False
748,9,S,同意。我会明天跟团队核对一下，确保在部署之前大家都了解情况。,zh,"['同', '意', '。', '我', '会', '明', '天', '跟', '团', '队', '核', '对', '一', '下', '，', '确', '保', '在', '部', '署', '之', '前', '大', '家', '都', '了', '解', '情', '况', '。']","['zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",30,0,0,False
