conv_id,turn,speaker,text,lang,tokens_list,token_langs,token_count,tech_score,cult_score,is_mixed_turn
697,0,Li,"Hey Sarah, have you had a chance to look at the bug in the front-end code?",en,"['Hey', 'Sarah', ',', 'have', 'you', 'had', 'a', 'chance', 'to', 'look', 'at', 'the', 'bug', 'in', 'the', 'front', '-', 'end', 'code', '?']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'other']",20,2,0,False
697,1,S,嗨Sarah，你有时间看前端代码的错误吗？,zh,"['嗨', 'Sarah', '，', '你', '有', '时', '间', '看', '前', '端', '代', '码', '的', '错', '误', '吗', '？']","['zh', 'en', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",17,0,0,True
697,2,Sarah,"Yeah, I've been debugging it on the QA server, but I think we might need to deploy a fix to staging.",en,"['Yeah', ',', ""I've"", 'been', 'debugging', 'it', 'on', 'the', 'QA', 'server', ',', 'but', 'I', 'think', 'we', 'might', 'need', 'to', 'deploy', 'a', 'fix', 'to', 'staging', '.']","['en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",24,3,0,False
697,3,S,是的，我一直在QA服务器上调试，但我觉得我们可能需要在staging部署一个修复。,zh,"['是', '的', '，', '我', '一', '直', '在', 'QA', '服', '务', '器', '上', '调', '试', '，', '但', '我', '觉', '得', '我', '们', '可', '能', '需', '要', '在', 'staging', '部', '署', '一', '个', '修', '复', '。']","['zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'en', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'en', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",34,0,0,True
697,4,Li,"That makes sense. Once we merge the changes to the main branch, we can build a new version for testing.",en,"['That', 'makes', 'sense', '.', 'Once', 'we', 'merge', 'the', 'changes', 'to', 'the', 'main', 'branch', ',', 'we', 'can', 'build', 'a', 'new', 'version', 'for', 'testing', '.']","['en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",23,2,0,False
697,5,S,这很有道理。一旦我们把改变合并到主分支，我们就可以建一个新版本用来测试。,zh,"['这', '很', '有', '道', '理', '。', '一', '旦', '我', '们', '把', '改', '变', '合', '并', '到', '主', '分', '支', '，', '我', '们', '就', '可', '以', '建', '一', '个', '新', '版', '本', '用', '来', '测', '试', '。']","['zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",36,0,0,False
697,6,Sarah,Agreed. Let's aim for getting it done before the deadline so we have enough time to deploy to production.,en,"['Agreed', '.', ""Let's"", 'aim', 'for', 'getting', 'it', 'done', 'before', 'the', 'deadline', 'so', 'we', 'have', 'enough', 'time', 'to', 'deploy', 'to', 'production', '.']","['en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",21,2,0,False
697,7,S,同意。我们应该在截止日期之前完成它，这样我们就有足够的时间部署到生产环境。,zh,"['同', '意', '。', '我', '们', '应', '该', '在', '截', '止', '日', '期', '之', '前', '完', '成', '它', '，', '这', '样', '我', '们', '就', '有', '足', '够', '的', '时', '间', '部', '署', '到', '生', '产', '环', '境', '。']","['zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",37,0,0,False
697,8,Li,Definitely. I'll work on fixing the bug while you focus on getting the code ready for deployment.,en,"['Definitely', '.', ""I'll"", 'work', 'on', 'fixing', 'the', 'bug', 'while', 'you', 'focus', 'on', 'getting', 'the', 'code', 'ready', 'for', 'deployment', '.']","['en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",19,2,0,False
697,9,S,没错。我会继续修复错误，而你专注于准备代码部署。,zh,"['没', '错', '。', '我', '会', '继', '续', '修', '复', '错', '误', '，', '而', '你', '专', '注', '于', '准', '备', '代', '码', '部', '署', '。']","['zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",24,0,0,False
697,10,Sarah,Sounds like a plan. Let's keep each other updated on our progress.,en,"['Sounds', 'like', 'a', 'plan', '.', ""Let's"", 'keep', 'each', 'other', 'updated', 'on', 'our', 'progress', '.']","['en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",14,0,0,False
697,11,S,听起来像一个计划。我们要互相通报进展。,zh,"['听', '起', '来', '像', '一', '个', '计', '划', '。', '我', '们', '要', '互', '相', '通', '报', '进', '展', '。']","['zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'zh', 'other']",19,0,0,False
