conv_id,turn,speaker,text,lang,tokens_list,token_langs,token_count,tech_score,cult_score,is_mixed_turn
168,0,Li,"Hey Sarah, I saw there's a merge conflict on that feature branch you're working on. Do you need any help resolving it?",en,"['Hey', 'Sarah', ',', 'I', 'saw', ""there's"", 'a', 'merge', 'conflict', 'on', 'that', 'feature', 'branch', ""you're"", 'working', 'on', '.', 'Do', 'you', 'need', 'any', 'help', 'resolving', 'it', '?']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",25,2,0,False
168,1,Sarah,"Hey Li, yeah I've been trying to figure it out but it's more complex than I thought. Can you take a look?",en,"['Hey', 'Li', ',', 'yeah', ""I've"", 'been', 'trying', 'to', 'figure', 'it', 'out', 'but', ""it's"", 'more', 'complex', 'than', 'I', 'thought', '.', 'Can', 'you', 'take', 'a', 'look', '?']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'other']",25,0,0,False
168,2,Li,"Sure thing, let me check it out. It looks like there's some conflicting changes in the UI components.",en,"['Sure', 'thing', ',', 'let', 'me', 'check', 'it', 'out', '.', 'It', 'looks', 'like', ""there's"", 'some', 'conflicting', 'changes', 'in', 'the', 'UI', 'components', '.']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",21,0,0,False
168,3,Sarah,"Yeah, we have two different developers working on that section and it seems like their changes are conflicting. We need to merge them properly.",en,"['Yeah', ',', 'we', 'have', 'two', 'different', 'developers', 'working', 'on', 'that', 'section', 'and', 'it', 'seems', 'like', 'their', 'changes', 'are', 'conflicting', '.', 'We', 'need', 'to', 'merge', 'them', 'properly', '.']","['en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",27,1,0,False
168,4,Li,"Got it, I'll work on resolving the conflict and merging the changes. Once that's done, we can run a staging build to test everything.",en,"['Got', 'it', ',', ""I'll"", 'work', 'on', 'resolving', 'the', 'conflict', 'and', 'merging', 'the', 'changes', '.', 'Once', ""that's"", 'done', ',', 'we', 'can', 'run', 'a', 'staging', 'build', 'to', 'test', 'everything', '.']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",28,2,0,False
168,5,Sarah,Sounds good. We also have a couple of deployment blockers to address before we can push this out to production.,en,"['Sounds', 'good', '.', 'We', 'also', 'have', 'a', 'couple', 'of', 'deployment', 'blockers', 'to', 'address', 'before', 'we', 'can', 'push', 'this', 'out', 'to', 'production', '.']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",22,0,0,False
168,6,Li,What are the blockers?,en,"['What', 'are', 'the', 'blockers', '?']","['en', 'en', 'en', 'en', 'other']",5,0,0,False
168,7,Sarah,One of them is a critical bug that was found during QA testing. We need to fix it before we can deploy the feature.,en,"['One', 'of', 'them', 'is', 'a', 'critical', 'bug', 'that', 'was', 'found', 'during', 'QA', 'testing', '.', 'We', 'need', 'to', 'fix', 'it', 'before', 'we', 'can', 'deploy', 'the', 'feature', '.']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",26,4,0,False
168,8,Li,"Okay, I'll prioritize the bug fix and make sure it's included in the next release. We can do a hotfix deployment if needed to address it quickly.",en,"['Okay', ',', ""I'll"", 'prioritize', 'the', 'bug', 'fix', 'and', 'make', 'sure', ""it's"", 'included', 'in', 'the', 'next', 'release', '.', 'We', 'can', 'do', 'a', 'hotfix', 'deployment', 'if', 'needed', 'to', 'address', 'it', 'quickly', '.']","['en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",30,1,0,False
168,9,Sarah,"Thanks Li, let's try to get this resolved before the deadline so we can deploy on time.",en,"['Thanks', 'Li', ',', ""let's"", 'try', 'to', 'get', 'this', 'resolved', 'before', 'the', 'deadline', 'so', 'we', 'can', 'deploy', 'on', 'time', '.']","['en', 'en', 'other', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'other']",19,2,0,False
